CustomerKey,TotalSpent,AvgTransactionValue,TransactionCount,TotalQuantity,UniqueInvoices,ProductDiversity,Country,MonthSpread,WeekendPreference,AvgPricePreference,Country_encoded,CustomerValueCategory
359,1925.45,385.09,5,138,4,4,EIRE,4,0.4,11.746,2,Medium
360,1871.08,170.1,11,157,3,6,France,2,1.0,14.227,3,Medium
361,2018.72,224.3,9,203,3,4,Germany,3,0.0,7.674,4,Medium
362,4652.44,387.7,12,297,4,5,Germany,3,0.0,16.837,4,High
363,391.68,391.68,1,18,1,1,Italy,1,0.0,21.76,6,Low
364,527.18,263.59,2,72,2,2,Australia,2,0.0,7.39,0,Low
365,2589.88,517.98,5,175,4,5,United Kingdom,3,0.0,14.962,15,High
366,1051.28,131.41,8,146,4,6,Italy,3,0.0,8.051,6,Low
367,329.56,109.85,3,16,2,3,Australia,1,0.0,19.893,0,Low
368,2794.96,232.91,12,305,6,6,Japan,6,0.083,10.066,7,High
369,1790.14,358.03,5,108,2,4,Belgium,2,0.8,12.028,1,Medium
370,418.26,209.13,2,38,2,2,Japan,2,0.5,14.55,7,Low
371,3593.55,276.43,13,333,6,7,Belgium,6,0.615,10.421,1,High
372,1734.64,433.66,4,123,1,3,Iceland,1,1.0,15.872,5,Medium
373,5540.14,346.26,16,465,3,7,Switzerland,3,0.375,11.682,14,High
374,1156.86,192.81,6,119,2,5,Japan,1,0.0,8.933,7,Low
375,499.06,249.53,2,66,1,2,Netherlands,1,1.0,7.19,9,Low
376,5141.08,367.22,14,377,6,6,France,4,0.0,13.02,3,High
377,2815.94,234.66,12,261,7,5,Poland,5,0.333,12.011,11,High
378,718.54,143.71,5,155,2,4,Iceland,2,0.6,5.054,5,Low
379,1440.92,288.18,5,78,3,3,Poland,3,0.0,18.484,11,Medium
380,494.56,494.56,1,22,1,1,Spain,1,0.0,22.48,13,Low
381,3636.67,303.06,12,272,4,5,Belgium,3,0.667,12.931,1,High
382,1103.39,220.68,5,163,2,5,Australia,2,0.4,11.65,0,Low
383,677.32,338.66,2,97,2,2,Japan,2,0.5,6.985,7,Low
384,356.43,178.22,2,47,2,2,Norway,1,0.5,8.865,10,Low
385,736.15,245.38,3,63,2,3,Switzerland,2,0.0,11.377,14,Low
386,1207.99,201.33,6,121,3,5,Iceland,3,0.167,11.69,5,Low
387,3412.79,341.28,10,329,5,5,Lithuania,3,0.0,11.175,8,High
388,262.5,52.5,5,60,3,4,Netherlands,3,0.2,10.53,9,Low
389,389.2,389.2,1,20,1,1,Poland,1,0.0,19.46,11,Low
390,2031.73,507.93,4,111,2,3,Poland,2,0.5,16.242,11,Medium
391,2796.21,233.02,12,346,5,6,Belgium,4,0.083,8.147,1,High
392,1737.61,579.2,3,112,2,2,Netherlands,2,0.0,15.267,9,Medium
393,3057.88,436.84,7,219,3,4,Belgium,2,0.0,14.989,1,High
394,6393.14,376.07,17,441,5,7,Poland,4,0.0,13.662,11,High
395,3593.55,276.43,13,333,6,7,Australia,6,0.615,10.421,0,High
396,1790.14,358.03,5,108,2,4,Switzerland,2,0.8,12.028,14,Medium
397,512.32,128.08,4,70,2,3,EIRE,2,0.5,6.84,2,Low
398,840.07,280.02,3,69,2,3,Australia,2,1.0,11.723,0,Low
399,5289.67,440.81,12,396,4,5,Portugal,2,0.0,14.445,12,High
400,262.5,52.5,5,60,3,4,Poland,3,0.2,10.53,11,Low
401,2562.86,284.76,9,154,4,6,Belgium,2,0.667,13.949,1,Medium
402,3318.48,331.85,10,299,4,4,Australia,3,0.2,9.841,0,High
403,2371.21,237.12,10,237,6,4,Japan,5,0.0,10.389,7,Medium
404,963.07,240.77,4,73,2,3,Poland,2,0.0,15.642,11,Low
405,3735.77,311.31,12,320,4,7,Portugal,4,0.083,11.82,12,High
406,432.07,144.02,3,83,2,3,Netherlands,2,0.0,5.99,9,Low
407,24.06,24.06,1,2,1,1,Japan,1,0.0,12.03,7,Low
408,695.53,173.88,4,110,2,3,France,2,0.0,7.332,3,Low
409,1829.54,304.92,6,142,3,4,Germany,3,0.0,11.83,4,Medium
410,2395.65,399.28,6,165,3,5,Belgium,2,0.333,14.87,1,Medium
411,3273.23,409.15,8,252,2,5,Poland,2,0.25,13.449,11,High
412,742.91,123.82,6,93,2,5,Netherlands,2,0.0,9.303,9,Low
413,2107.94,191.63,11,240,4,7,Germany,4,0.364,9.371,4,Medium
414,731.48,243.83,3,67,2,3,Italy,2,0.667,10.02,6,Low
415,259.13,129.56,2,23,1,2,Norway,1,0.0,10.84,10,Low
416,2796.21,233.02,12,346,5,6,United Kingdom,4,0.083,8.147,15,High
417,3735.77,311.31,12,320,4,7,Switzerland,4,0.083,11.82,14,High
418,3636.67,303.06,12,272,4,5,Spain,3,0.667,12.931,13,High
419,2148.11,268.51,8,150,3,6,Netherlands,3,0.0,13.599,9,Medium
420,4678.19,389.85,12,308,4,6,Italy,2,0.167,14.066,6,High
421,1153.4,288.35,4,83,4,3,EIRE,3,0.25,14.598,2,Low
422,3122.44,283.86,11,272,7,7,Netherlands,4,0.545,12.321,9,High
423,128.88,128.88,1,6,1,1,Netherlands,1,0.0,21.48,9,Low
424,1628.3,203.54,8,209,6,6,Netherlands,4,0.25,10.036,9,Medium
425,3575.39,397.27,9,261,3,5,Japan,3,0.0,14.081,7,High
